,Data_time,lr,Loss,CE_Loss_source,top1_base,top1_base_per_class,Batch_time,Data_time/avg,lr/avg,Loss/avg,CE_Loss_source/avg,top1_base/avg,top1_base_per_class/avg,Batch_time/avg,Data_time/sum,lr/sum,Loss/sum,CE_Loss_source/sum,top1_base/sum,top1_base_per_class/sum,Batch_time/sum
1,0.009144783020019531,0.1,3.5085506439208984,3.5085506439208984,14.0625,16.622573852539062,0.13725543022155762,0.0383332796264113,0.10000000000000048,3.8011169199357955,3.8011169199357955,9.953399122807017,10.098008162724344,0.17043104088097288,10.924984693527222,28.500000000000135,1083.3183221817017,1083.3183221817017,363100.0,2877.932326376438,48.57284665107727
2,0.010667085647583008,0.1,3.0725669860839844,3.0725669860839844,21.875,18.930816650390625,0.1420731544494629,0.03358446087753564,0.10000000000000048,3.3099129467679744,3.3099129467679744,17.316337719298247,17.456691077717565,0.1658124756394771,9.571571350097656,28.500000000000135,943.3251898288727,943.3251898288727,631700.0,4975.156957149506,47.25655555725098
3,0.013226747512817383,0.1,2.991413116455078,2.991413116455078,26.5625,31.68337631225586,0.1452791690826416,0.03457251598960475,0.10000000000000048,3.06011166990849,3.06011166990849,22.165570175438596,22.5234061124032,0.16703824244047466,9.853167057037354,28.500000000000135,872.1318259239197,872.1318259239197,808600.0,6419.170742034912,47.60589909553528
4,0.011905193328857422,0.1,2.7209103107452393,2.7209103107452393,26.5625,26.63690757751465,0.14356565475463867,0.02852611458092405,0.10000000000000048,2.881880477436802,2.881880477436802,26.085526315789473,26.471594676636812,0.16116561053092018,8.129942655563354,28.500000000000135,821.3359360694885,821.3359360694885,951600.0,7544.404482841492,45.932199001312256
5,0.01260232925415039,0.1,2.5655429363250732,2.5655429363250732,31.25,28.611108779907227,0.14217114448547363,0.029158290227254233,0.10000000000000048,2.7646278197305243,2.7646278197305243,28.63760964912281,29.021975326538087,0.16141219222754763,8.310112714767456,28.500000000000135,787.9189286231995,787.9189286231995,1044700.0,8271.262968063354,46.002474784851074
6,0.011750221252441406,0.1,2.8535265922546387,2.8535265922546387,26.5625,29.435482025146484,0.1433713436126709,0.028838754955090976,0.10000000000000048,2.642338226552595,2.642338226552595,31.403508771929825,31.803628734120153,0.16085085785179806,8.219045162200928,28.500000000000135,753.0663945674896,753.0663945674896,1145600.0,9064.034189224243,45.84249448776245
7,0.01004338264465332,0.1,2.6907265186309814,2.6907265186309814,28.90625,27.746912002563477,0.13870954513549805,0.03045500203182823,0.10000000000000048,2.545480639474434,2.545480639474434,33.74177631578947,34.15437381811309,0.16289830207824707,8.679675579071045,28.500000000000135,725.4619822502136,725.4619822502136,1230900.0,9733.996538162231,46.426016092300415
8,0.00935220718383789,0.1,2.553290605545044,2.553290605545044,32.8125,37.456138610839844,0.13967275619506836,0.03477726986533717,0.10000000000000048,2.4597525345651725,2.4597525345651725,35.6140350877193,36.16698915581954,0.1671022105635258,9.911521911621094,28.500000000000135,701.0294723510742,701.0294723510742,1299200.0,10307.59190940857,47.62413001060486
9,0.00997304916381836,0.1,2.6850099563598633,2.6850099563598633,30.46875,32.04023361206055,0.13931965827941895,0.033151654193275856,0.10000000000000048,2.362589027170549,2.362589027170549,38.21546052631579,38.49204339144523,0.16522380510965984,9.448221445083618,28.500000000000135,673.3378727436066,673.3378727436066,1394100.0,10970.23236656189,47.08878445625305
10,0.00932765007019043,0.1,2.4329798221588135,2.4329798221588135,35.9375,38.74213790893555,0.13826656341552734,0.0312016579142788,0.10000000000000048,2.3112277532878673,2.3112277532878673,39.05975877192982,39.57209294637044,0.1634338052649247,8.892472505569458,28.500000000000135,658.6999096870422,658.6999096870422,1424900.0,11278.046489715576,46.57863450050354
11,0.011868000030517578,0.1,2.428150177001953,2.428150177001953,32.8125,37.644229888916016,0.14292550086975098,0.02852313560351991,0.10000000000000048,2.2254875170557122,2.2254875170557122,41.67489035087719,42.06873601946914,0.16102041361624733,8.129093647003174,28.500000000000135,634.263942360878,634.263942360878,1520300.0,11989.589765548706,45.89081788063049
12,0.00971531867980957,0.1,2.072432279586792,2.072432279586792,43.75,48.24242401123047,0.1395411491394043,0.03213740817287512,0.10000000000000048,2.1556585065105507,2.1556585065105507,42.88377192982456,43.19695338868258,0.16411877933301425,9.15916132926941,28.500000000000135,614.3626743555069,614.3626743555069,1564400.0,12311.131715774536,46.77385210990906
13,0.04324531555175781,0.1,2.3195159435272217,2.3195159435272217,38.28125,32.88690185546875,0.17270565032958984,0.03469281614872447,0.10000000000000048,2.109070152985422,2.109070152985422,44.11184210526316,44.56204747651753,0.16682890925491065,9.887452602386475,28.500000000000135,601.0849936008453,601.0849936008453,1609200.0,12700.183530807495,47.546239137649536
14,0.009822368621826172,0.1,1.9362012147903442,1.9362012147903442,51.5625,51.63579559326172,0.13956809043884277,0.03499586958634226,0.10000000000000048,2.0575201130749887,2.0575201130749887,45.46326754385965,46.078168106079104,0.16705471005356104,9.973822832107544,28.500000000000135,586.3932322263718,586.3932322263718,1658500.0,13132.277910232544,47.61059236526489
15,0.04154038429260254,0.1,1.7069501876831055,1.7069501876831055,54.6875,58.85802459716797,0.1713864803314209,0.033350057769239994,0.10000000000000048,2.0111944650348863,2.0111944650348863,46.348684210526315,46.97730720921567,0.16573233186152944,9.504766464233398,28.500000000000135,573.1904225349426,573.1904225349426,1690800.0,13388.532554626465,47.23371458053589
