,Data_time,lr,Loss,MSE_Loss_target,CE_Loss_source,top1_base,top1_base_per_class,Batch_time,Data_time/avg,lr/avg,Loss/avg,MSE_Loss_target/avg,CE_Loss_source/avg,top1_base/avg,top1_base_per_class/avg,Batch_time/avg,Data_time/sum,lr/sum,Loss/sum,MSE_Loss_target/sum,CE_Loss_source/sum,top1_base/sum,top1_base_per_class/sum,Batch_time/sum
637,0.016561508178710938,1e-05,0.20468471944332123,0.0023662063758820295,0.20231851935386658,93.75,93.78205108642578,2.6311838626861572,0.021771975567466333,1.0000000000000023e-05,0.1800929356431752,0.00195843542868827,0.17813450070588213,95.24396929824562,95.51523528517339,1.1354544723243045,6.205013036727905,0.0028500000000000066,51.32648665830493,0.5581540971761569,50.768332701176405,3474500.0,27221.842056274414,323.60452461242676
638,0.016982078552246094,1e-05,0.18295499682426453,0.0018686526454985142,0.18108634650707245,96.09375,97.06790161132812,2.805670738220215,0.02167041259899474,1.0000000000000023e-05,0.17962415562125675,0.0019176479915091606,0.17770650756725093,95.25493421052632,95.3569251612613,1.1299437297017951,6.176067590713501,0.0028500000000000066,51.19288435205817,0.5465296775801107,50.64635465666652,3474900.0,27176.723670959473,322.0339629650116
639,0.01566290855407715,1e-05,0.11912065744400024,0.0022864702623337507,0.11683418601751328,95.3125,95.99414825439453,2.756222724914551,0.021609151572511906,1.0000000000000023e-05,0.17914484922300306,0.0019784017290364496,0.17716644756626665,95.34265350877193,95.53492988452577,1.134843925844159,6.1586081981658936,0.0028500000000000066,51.05628202855587,0.5638444927753881,50.492437556385994,3478100.0,27227.455017089844,323.4305188655853
640,0.018035173416137695,1e-05,0.12621106207370758,0.002078095218166709,0.12413296103477478,96.09375,96.96427917480469,2.1621346473693848,0.023365484204208642,1.0000000000000023e-05,0.17442204442463424,0.0019602226093411446,0.1724618219754152,95.50438596491227,95.66076475444594,1.1275305296245375,6.659162998199463,0.0028500000000000066,49.710282661020756,0.5586634436622262,49.151619262993336,3484000.0,27263.31795501709,321.34620094299316
641,0.01642322540283203,1e-05,0.11623173207044601,0.0017365104286000133,0.11449522525072098,98.4375,99.24241638183594,2.831392526626587,0.0216281815579063,1.0000000000000023e-05,0.18330000313489062,0.0019764919634581656,0.18132351094432045,95.18092105263158,95.38685905054996,1.1342752205698114,6.164031744003296,0.0028500000000000066,52.24050089344382,0.5633002095855772,51.67720061913133,3472200.0,27185.25482940674,323.26843786239624
642,0.01762104034423828,1e-05,0.1507125198841095,0.001834096503444016,0.14887842535972595,96.09375,96.51515197753906,2.4375991821289062,0.02262246148628101,1.0000000000000023e-05,0.17991568817381273,0.0019621291647158694,0.1779535592778733,95.18640350877193,95.3451067205061,1.1284787303523014,6.447401523590088,0.0028500000000000066,51.27597112953663,0.5592068119440228,50.71676439419389,3472400.0,27173.35541534424,321.6164381504059
643,0.020540237426757812,1e-05,0.3626462519168854,0.002297808416187763,0.3603484332561493,91.40625,94.29012298583984,2.3061861991882324,0.022255201507032963,1.0000000000000023e-05,0.18318964584093345,0.001969080350541493,0.1812205655010123,95.09868421052632,95.26256831654331,1.1266453441820647,6.3427324295043945,0.0028500000000000066,52.20904906466603,0.5611878999043256,51.647861167788506,3469200.0,27149.831970214844,321.0939230918884
644,0.019284963607788086,1e-05,0.16244590282440186,0.002055075950920582,0.16039082407951355,95.3125,96.06321716308594,2.6675209999084473,0.023056674421879284,1.0000000000000023e-05,0.17403863965157876,0.0019368144801997563,0.17210182486788222,95.44407894736842,95.70052856980709,1.141202407970763,6.571152210235596,0.0028500000000000066,49.60101230069995,0.5519921268569306,49.049020087346435,3481800.0,27274.65064239502,325.2426862716675
645,0.02098870277404785,1e-05,0.14700596034526825,0.0020183094311505556,0.14498765766620636,96.875,96.13095092773438,3.4259698390960693,0.02253523207547372,1.0000000000000023e-05,0.17889795849720638,0.001955001190582519,0.17694295741486968,95.3125,95.44717069927015,1.1401330445942126,6.42254114151001,0.0028500000000000066,50.985918171703815,0.5571753393160179,50.42874286323786,3477000.0,27202.443649291992,324.9379177093506
646,0.015945911407470703,1e-05,0.18871347606182098,0.002136675640940666,0.18657679855823517,96.09375,95.67901611328125,2.871640682220459,0.02315858205159505,1.0000000000000023e-05,0.18552227702580001,0.0019184328407343282,0.1836038440335215,95.21381578947368,95.35357773094846,1.1312984048274526,6.60019588470459,0.0028500000000000066,52.873848952353,0.5467533596092835,52.32709554955363,3473400.0,27175.769653320312,322.420045375824
647,0.016417980194091797,1e-05,0.1531858593225479,0.0018174058059230447,0.15136845409870148,96.09375,95.60606384277344,2.8568363189697266,0.021892763438977694,1.0000000000000023e-05,0.17991138014354205,0.001969947938382495,0.17794143208547641,95.22752192982456,95.47089819657175,1.141543404261271,6.239437580108643,0.0028500000000000066,51.27474334090948,0.561435162439011,50.71330814436078,3473900.0,27209.20598602295,325.3398702144623
648,0.01884627342224121,1e-05,0.20590569078922272,0.001693874946795404,0.20421181619167328,96.09375,97.45454406738281,2.931140184402466,0.022466839405528287,1.0000000000000023e-05,0.18054311739509565,0.001935177290272948,0.17860793998105484,95.25219298245614,95.45704993532415,1.1410690223961546,6.4030492305755615,0.0028500000000000066,51.45478845760226,0.5515255277277902,50.90326289460063,3474800.0,27205.259231567383,325.20467138290405
649,0.01722550392150879,1e-05,0.18256708979606628,0.0021119576413184404,0.18045513331890106,95.3125,93.84615325927734,1.7401442527770996,0.02284641516836066,1.0000000000000023e-05,0.1844339916057754,0.001926781648051059,0.18250721040786358,95.10964912280701,95.35131083705969,1.1409032620881734,6.511228322982788,0.0028500000000000066,52.56368760764599,0.5491327696945518,52.01455496624112,3469600.0,27175.12358856201,325.1574296951294
650,0.019610166549682617,1e-05,0.14542345702648163,0.0017397626070305705,0.14368370175361633,96.09375,97.02381134033203,1.8371593952178955,0.02265944229929071,1.0000000000000023e-05,0.17953559420349305,0.001955788112817365,0.17757980620913338,95.24396929824562,95.34118108916701,1.129564104582134,6.457941055297852,0.0028500000000000066,51.16764434799552,0.557399612152949,50.610244769603014,3474500.0,27172.236610412598,321.9257698059082
