,1-shot,5-shot,20-shot,50-shot
MAML,,53.34,62.89,
ProtoNe,,54.18,62.5,
MetaOp,,54.18,59.25,
Baseline,45.82,60.5,67.91,71.32
STARTUP,48.89,62.37,69.65,72.88
AdaBN,45.67,66.76,68.82,71.95
BMS,48.92,62.43,69.71,73.4
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
